Nb_Ring,Ring,Earlywood,Latewood,E/L_ratio,Nb_FRing,Num_FRing,FRing,lumen_area,Equivalent_Diameter,2P_thickness,Tile_ID,Image
,,,,,,,,23.433624,5.462290431,2.49176E-01,Image_11,PB1
,,,,,,,,75.205584,9.785434254,NA,Image_11,PB1
,,,,,,,,261,18.22952334,0,Image_11,PB1
,,,,,,,,150.411168,13.83869384,0,Image_11,PB1
,,,,,,,,355,21.26029253,0,Image_11,PB1
,,,,,,,,84.197556,10.35391993,0,Image_11,PB1
,,,,,,,,345,20.95871282,0,Image_11,PB1
,,,,,,,,24.52356,5.587876732,1.753021549,Image_11,PB1
,,,,,,,,73.025712,9.642573531,0,Image_11,PB1
,,,,,,,,299,19.51149979,0,Image_11,PB1
,,,,,,,,348,21.04964041,0,Image_11,PB1
,,,,,,,,333,20.59098755,0,Image_11,PB1
,,,,,,,,45.777312,7.634493034,0,Image_11,PB1
,,,,,,,,30.790692,6.261303911,0,Image_12,PB1
,,,,,,,,128,12.76615297,5.916171902,Image_12,PB1
,,,,,,,,116.350668,12.17137098,0,Image_12,PB1
,,,,,,,,101,11.34007028,0,Image_12,PB1
,,,,,,,,117.16812,12.21405272,6.00007E-01,Image_12,PB1
,,,,,,,,106.26876,11.632093,1.44743E-01,Image_12,PB1
,,,,,,,,80.655264,10.13377874,0,Image_12,PB1
,,,,,,,,273,18.6438836,0,Image_12,PB1
,,,,,,,,346,20.98906578,0,Image_12,PB1
,,,,,,,,39.237696,7.068167103,8.2262E-01,Image_12,PB1
,,,,,,,,68.393484,9.331735553,0,Image_12,PB1
,,,,,,,,216,16.58371917,0,Image_12,PB1
,,,,,,,,208,16.27371578,0,Image_12,PB1
,,,,,,,,150,13.81976598,0,Image_12,PB1
,,,,,,,,144,13.54055001,0,Image_12,PB1
,,,,,,,,36.78534,6.843723369,0,Image_12,PB1
,,,,,,,,148,13.72732504,0,Image_12,PB1
,,,,,,,,129,12.81592374,0,Image_12,PB1
,,,,,,,,29.700756,6.149485917,2.370320642,Image_12,PB1
,,,,,,,,140,13.35116236,3.470413109,Image_12,PB1
,,,,,,,,37.330308,6.894231238,0,Image_12,PB1
,,,,,,,,33.788016,6.558981484,0,Image_12,PB1
,,,,,,,,141,13.39876023,4.686220269,Image_12,PB1
,,,,,,,,50.954508,8.054644286,9.74916E-01,Image_12,PB1
,,,,,,,,53.951832,8.288160593,2.628927213,Image_12,PB1
,,,,,,,,1.36242,1.317075176,9.973999108,Image_12,PB1
,,,,,,,,105.451308,11.58726781,1.015718665,Image_12,PB1
,,,,,,,,49.319604,7.924371908,6.917085066,Image_12,PB1
,,,,,,,,57.494124,8.555921474,0,Image_12,PB1
,,,,,,,,87.739848,10.569477,0,Image_12,PB1
,,,,,,,,71.118324,9.515811183,0,Image_12,PB1
,,,,,,,,62.398836,8.913398092,0,Image_12,PB1
,,,,,,,,70.028388,9.442611548,0,Image_12,PB1
,,,,,,,,56.949156,8.515275536,0,Image_12,PB1
,,,,,,,,26.703432,5.83094037,8.76224E-01,Image_13,PB1
,,,,,,,,193,15.67594438,0,Image_13,PB1
,,,,,,,,31.608144,6.343874122,0,Image_13,PB1
,,,,,,,,25.341012,5.680244588,0,Image_13,PB1
,,,,,,,,125,12.61566261,0,Image_13,PB1
,,,,,,,,59.129028,8.67671693,0,Image_13,PB1
,,,,,,,,200,15.95769122,0,Image_13,PB1
,,,,,,,,131,12.91488987,0,Image_13,PB1
,,,,,,,,221,16.77456227,0,Image_13,PB1
,,,,,,,,305,19.70629496,0,Image_13,PB1
,,,,,,,,316,20.05850683,0,Image_13,PB1
,,,,,,,,131.337288,12.93150528,0,Image_13,PB1
,,,,,,,,125.070156,12.61920237,3.045783697,Image_13,PB1
,,,,,,,,101.909016,11.39098719,9.282340995,Image_13,PB1
,,,,,,,,52.316928,8.161616359,5.19553E-01,Image_13,PB1
,,,,,,,,50.682024,8.033078934,NA,Image_13,PB1
,,,,,,,,119.347992,12.32714821,4.08317356,Image_13,PB1
,,,,,,,,142,13.44618962,0,Image_13,PB1
,,,,,,,,184,15.30607971,0,Image_13,PB1
,,,,,,,,52.861896,8.204014651,0,Image_13,PB1
,,,,,,,,174,14.88434348,0,Image_13,PB1
,,,,,,,,212,16.42944867,0,Image_13,PB1
,,,,,,,,2,1.595769122,7.193925796,Image_13,PB1
,,,,,,,,22.343688,5.333747945,2.244319306,Image_13,PB1
,,,,,,,,102.1815,11.40620562,1.354958219,Image_13,PB1
,,,,,,,,335,20.65272978,0,Image_13,PB1
,,,,,,,,78.747876,10.01323673,0,Image_13,PB1
,,,,,,,,64.03374,9.029412493,0,Image_13,PB1
,,,,,,,,113,11.99483508,2.2743238,Image_13,PB1
,,,,,,,,23.978592,5.525440395,0,Image_13,PB1
,,,,,,,,341,20.8368588,2.67626E-01,Image_13,PB1
,,,,,,,,40.600116,7.189831237,2.430706009,Image_13,PB1
,,,,,,,,17.983944,4.785171749,3.137060082,Image_13,PB1
,,,,,,,,18.528912,4.857133257,0,Image_13,PB1
